YYMM,Mrk,SMB,HML,RMW,CMA,
19630930,2.70945433,-1.982977002,0.22191642,0.054952376,-0.003346123,
19631001,2.086577395,-1.337426831,0.216033644,0.035970131,-0.001154339,
19631002,2.059556668,-1.310995531,0.220517738,0.034064249,-0.003143123,
19631003,1.918234147,-1.21251794,0.267939075,0.020241559,0.006103159,
19631004,1.967534176,-1.267667483,0.271995482,0.021830774,0.006307051,
19631007,1.824309644,-1.086762745,0.218273405,0.04470761,-0.000527913,
19631008,1.946239408,-1.231942841,0.235090612,0.050822104,-0.000209283,
19631009,1.935957999,-1.237520347,0.2540942,0.044427571,0.003040577,
19631010,1.960193798,-1.29648218,0.291884794,0.039027639,0.005375949,
19631011,2.03641714,-1.366437605,0.294429638,0.033188933,0.002401894,
19631014,1.89491661,-1.153432033,0.238381368,0.018358038,0.001776017,
19631015,1.735704078,-0.973286377,0.213774451,0.021865305,0.001942543,
19631016,1.680561176,-0.880018677,0.174685501,0.024193333,0.000578668,
19631017,1.805539072,-1.010527709,0.178217578,0.026265463,0.000505595,
19631018,1.738479322,-0.935722347,0.178725773,0.017531109,0.000986143,
19631021,1.591612916,-0.778767248,0.165954086,0.020139643,0.001060603,
19631022,1.486927563,-0.663638388,0.162230455,0.013946844,0.000533525,
19631023,1.61141732,-0.814900093,0.187436699,0.013988121,0.002057953,
19631024,1.716350628,-0.914985121,0.186824113,0.00848674,0.003323639,
19631025,1.813947447,-1.034477479,0.20808796,0.008198567,0.004243505,
19631028,1.762043075,-0.965982969,0.186756,0.013711192,0.003472702,
19631029,1.857803264,-1.075028322,0.208706631,0.006043592,0.002474836,
19631030,1.86063452,-1.074773654,0.204704854,0.00658841,0.00284587,
19631031,1.946074851,-1.16670082,0.209991976,0.006542643,0.004091351,
19631101,1.916312689,-1.150572694,0.221889741,0.007274064,0.0050962,
19631104,1.827398307,-1.03391655,0.198517646,0.00536252,0.002638077,
19631106,1.735826897,-0.93702223,0.192337162,0.006019892,0.002838279,
19631107,1.707259287,-0.893571727,0.171462486,0.009271484,0.005578471,
19631108,1.688892102,-0.873264535,0.168655812,0.009020498,0.006696123,
19631111,1.674030622,-0.871033875,0.186910749,0.006284374,0.003808131,
19631112,1.804559719,-1.007504278,0.188666141,0.009671716,0.004606701,
19631113,1.712655602,-0.922520547,0.198188707,0.008067804,0.003608434,
19631114,1.643835115,-0.855214677,0.202876296,0.006553248,0.001950019,
19631115,1.6988543,-0.918289845,0.216888471,0.002441988,0.000105086,
19631118,1.73882916,-0.966344433,0.224652548,0.003411454,-0.00054873,
19631119,1.648127694,-0.893730523,0.246144222,0.002017576,-0.002558969,
19631120,1.587412699,-0.852540236,0.266970756,0.000739922,-0.002583141,
19631121,1.699301378,-0.993507517,0.295546053,0.001080441,-0.002420355,
19631122,1.654846714,-0.953926498,0.299903823,0.001893937,-0.002717976,
19631126,1.684966541,-0.999611852,0.318780767,-0.000529524,-0.003605931,
19631127,1.611755703,-0.918139483,0.308792945,-0.001688831,-0.000720334,
19631129,1.546000254,-0.837522692,0.295979339,-0.001113971,-0.00334293,
19631202,1.844176695,-1.194001888,0.34877098,0.001975122,-0.000920909,
19631203,2.012938605,-1.41003828,0.395331382,0.002210106,-0.000441813,
19631204,2.082078166,-1.540106022,0.457869923,0.001790039,-0.001632106,
19631205,1.893554857,-1.290965591,0.399929675,-0.000216723,-0.002302219,
19631206,1.864842493,-1.280698432,0.419388062,-0.001161874,-0.002370249,
19631209,2.087355002,-1.57347552,0.491144216,-0.002996555,-0.002027143,
19631210,1.904993574,-1.315743113,0.412388753,-0.002189302,0.000550088,
19631211,1.681762388,-1.025664233,0.345767605,-0.001681309,-0.000184451,
19631212,1.656281644,-1.003766506,0.346760541,-0.000355812,0.001080133,
19631213,1.623441513,-0.952337013,0.3299863,-0.00041215,-0.000678651,
19631216,1.587101924,-0.904933807,0.32124217,-0.00165962,-0.001750668,
19631217,1.612050722,-0.972020674,0.361902691,0.000427691,-0.00236043,
19631218,1.644485361,-0.995265901,0.351798027,0.001457402,-0.002474889,
19631219,1.527782711,-0.867835239,0.341285907,0.001070524,-0.002303903,
19631220,1.387866734,-0.692001383,0.302041241,0.002310377,-0.000216969,
19631223,1.291276713,-0.60442008,0.315017298,0.000371535,-0.002245467,
19631224,1.174122528,-0.470367739,0.299590555,0.000130831,-0.003476176,
19631226,1.08851188,-0.343927506,0.257017722,0.00022289,-0.001824986,
19631227,1.050794133,-0.290752055,0.245501734,-0.00051432,-0.005029492,
19631230,0.983295647,-0.195997937,0.209841029,5.28802E-05,0.002808381,
19631231,1.00455036,-0.201544642,0.191480147,-0.000466963,0.005981097,
19640102,1.037230542,-0.226667155,0.183982152,-0.000978127,0.006432587,
19640103,1.076176711,-0.236600284,0.157757382,-0.002246402,0.004912593,
19640106,1.046386817,-0.207355714,0.156955744,-0.001471586,0.005484738,
19640107,1.018360854,-0.171017463,0.15314177,-0.001716984,0.001231823,
19640108,0.948995884,-0.092057455,0.142629191,-0.003049152,0.003481532,
19640109,0.945931797,-0.080616503,0.135510646,-0.004169765,0.003343825,
19640110,0.964509164,-0.093094026,0.13124903,-0.004777783,0.002113615,
19640113,1.003802692,-0.128404096,0.133721676,-0.005340173,-0.0037801,
19640114,1.046425628,-0.161650008,0.125612364,-0.007230602,-0.003157382,
19640115,1.074264972,-0.181568699,0.116649268,-0.006208009,-0.003137532,
19640116,1.152972045,-0.262283942,0.11704569,-0.00593635,-0.001797443,
19640117,1.174368669,-0.28198769,0.115530557,-0.006965808,-0.000945729,
19640120,1.169995616,-0.278609595,0.114996181,-0.00654734,0.000165138,
19640121,1.176412657,-0.291809311,0.119412911,-0.005961645,0.001945389,
19640122,1.224498536,-0.353704972,0.138290929,-0.002146388,-0.006938105,
19640123,1.318857156,-0.47397215,0.165079027,0.003977089,-0.013941121,
19640124,1.363568706,-0.526401788,0.179094835,0.013644737,-0.02990649,
19640127,1.459636992,-0.643296923,0.198815263,0.026834661,-0.041989994,
19640128,1.383900914,-0.568679675,0.189570727,0.029433517,-0.034225483,
19640129,1.527785915,-0.722933613,0.190674903,0.040003208,-0.035530413,
19640130,1.59550203,-0.837234774,0.238743836,0.064731233,-0.061742326,
19640131,1.309368314,-0.527482561,0.196425487,0.067936311,-0.046247551,
19640203,1.176838881,-0.375244768,0.17431864,0.069914437,-0.04582719,
19640204,1.312000182,-0.505042785,0.162942432,0.060510546,-0.030410375,
19640205,1.344313564,-0.540336999,0.170717247,0.064301443,-0.038995255,
19640206,1.398351648,-0.5978813,0.181584851,0.064435736,-0.046490935,
19640207,1.377858306,-0.588209479,0.185261125,0.058930086,-0.033840037,
19640210,1.342622065,-0.536394426,0.167043867,0.052951834,-0.02622334,
19640211,1.399591936,-0.593491866,0.171846381,0.052162207,-0.030108658,
19640212,1.474390227,-0.691547367,0.191540832,0.060077656,-0.034461348,
19640213,1.48794914,-0.710269847,0.189073854,0.069778771,-0.036531918,
19640214,1.555779964,-0.784006841,0.193574164,0.072001964,-0.037349251,
19640217,1.612124514,-0.853419527,0.200231986,0.077998154,-0.036935128,
19640218,1.555308554,-0.779305388,0.198836695,0.069640299,-0.04448016,
19640219,1.557477424,-0.766665988,0.19093697,0.059399673,-0.041148078,
19640220,1.525014001,-0.715678164,0.172218577,0.053741085,-0.035295499,
19640224,1.427621202,-0.600417818,0.159863122,0.046372189,-0.033438695,
19640225,1.288206468,-0.458128484,0.141621222,0.044931239,-0.016630445,
19640226,1.216604852,-0.364212764,0.123489254,0.037058345,-0.012939687,
19640227,1.130983335,-0.24424309,0.084388884,0.03630154,-0.007430668,
19640228,1.041799776,-0.155714117,0.069163791,0.054149649,-0.009399099,
19640302,1.074119117,-0.19625132,0.072323749,0.059560717,-0.009752263,
19640303,1.170058796,-0.326133533,0.09249074,0.078029081,-0.014445084,
19640304,1.134285079,-0.324740316,0.1081149,0.101333723,-0.018993386,
19640305,1.156519948,-0.38234237,0.120680186,0.118185225,-0.01304299,
19640306,1.202831044,-0.42496267,0.117723388,0.114696846,-0.010288609,
19640309,1.085310673,-0.312010934,0.105335875,0.122929468,-0.001565082,
19640310,1.146318396,-0.342129066,0.096653489,0.099440621,-0.000283441,
19640311,1.159399183,-0.329582557,0.091412686,0.089457673,-0.010686985,
19640312,1.135007543,-0.295855553,0.084734077,0.082039415,-0.005925483,
19640313,1.112557498,-0.270049557,0.093378079,0.072346556,-0.008232576,
19640316,1.072215898,-0.218564728,0.089216685,0.060280337,-0.003148192,
19640317,1.052752839,-0.197056404,0.092986239,0.049996745,0.001320581,
19640318,0.993505446,-0.136661923,0.084174839,0.057954172,0.001027466,
19640319,0.911833903,-0.060616102,0.086815433,0.061296344,0.000670422,
19640320,0.900102351,-0.041021826,0.08721051,0.050500041,0.003208924,
19640323,0.902080659,-0.04678045,0.090740291,0.051759376,0.002200124,
19640324,0.851055139,0.014749135,0.08485592,0.048994656,0.000345149,
19640325,0.87993538,-0.005133963,0.082420028,0.044798049,-0.002019494,
19640326,0.885652698,-0.019026812,0.084774681,0.050631013,-0.002031579,
19640330,0.869923326,-0.008706675,0.087833477,0.052942787,-0.001992914,
19640331,0.879439949,-0.017489969,0.091016833,0.048109381,-0.001076193,
19640401,0.86296147,0.002569372,0.094748633,0.044171489,-0.004450964,
19640402,0.889709282,-0.048712425,0.110682533,0.052480524,-0.004159914,
19640403,0.947089463,-0.101253003,0.111193021,0.04026458,0.002705939,
19640406,0.993705601,-0.132176339,0.110998728,0.030984858,-0.003512847,
19640407,1.014444206,-0.160616128,0.131514449,0.02407845,-0.009420978,
19640408,1.04375055,-0.182161054,0.126364525,0.019220567,-0.007174589,
19640409,0.999298569,-0.154208242,0.139445601,0.025025015,-0.009560943,
19640410,0.964154443,-0.133105727,0.150320308,0.028230898,-0.009599922,
19640413,0.953322867,-0.12635999,0.154166453,0.028053923,-0.009183253,
19640414,0.945114941,-0.118426439,0.154268016,0.028501357,-0.009457875,
19640415,0.945693636,-0.096668359,0.135470688,0.022830309,-0.007326274,
19640416,0.939041631,-0.086910434,0.131508211,0.022932941,-0.006572349,
19640417,0.980408901,-0.119126734,0.125589863,0.01915105,-0.00602308,
19640420,0.994863309,-0.133411408,0.120422063,0.021346997,-0.003220961,
19640421,0.994009843,-0.137255504,0.124155512,0.023601958,-0.00451181,
19640422,0.95235001,-0.093552789,0.120895005,0.021896581,-0.001588807,
19640423,0.921546365,-0.06253206,0.119750487,0.019425984,0.001809224,
19640424,0.90809143,-0.052998126,0.124156242,0.0181158,0.002634654,
19640427,0.935342069,-0.09783716,0.135798277,0.019789757,0.006907057,
19640428,0.887906203,-0.035921608,0.130470096,0.014917906,0.002627402,
19640429,0.882824759,-0.021108828,0.1208555,0.013972207,0.003456362,
19640430,0.900028062,-0.030249201,0.114856507,0.012941919,0.002422713,
19640501,0.891007948,-0.027065202,0.114246175,0.017747524,0.004063555,
19640504,0.867503236,-0.023131581,0.124321589,0.023072897,0.008233858,
19640505,0.869749794,-0.04646413,0.135877274,0.029488471,0.011348592,
19640506,0.879110127,-0.055546952,0.127039912,0.029967932,0.01942898,
19640507,0.833050111,-0.021954854,0.134230652,0.027590064,0.027084026,
19640508,0.85136598,-0.036873072,0.139379853,0.021249158,0.024878082,
19640511,0.847177834,-0.031708667,0.138386036,0.02757734,0.018567456,
19640512,0.838539114,-0.031816818,0.145313339,0.029670408,0.018293957,
19640513,0.827223212,-0.007882518,0.135282621,0.028311692,0.017064993,
19640514,0.828308848,-0.00453697,0.13198521,0.028693349,0.015549563,
19640515,0.8010592,0.017014806,0.134180663,0.030990228,0.016755103,
19640518,0.821694054,0.003469982,0.126193955,0.026725937,0.021916072,
19640519,0.847780365,-0.028664943,0.134354831,0.021987672,0.024542076,
19640520,0.826587929,0.004751223,0.121258614,0.024179521,0.023222714,
19640521,0.808213399,0.006417988,0.123429606,0.0311744,0.030764608,
19640522,0.826592379,0.018103567,0.099109111,0.024276977,0.031917966,
19640525,0.802668883,0.039947825,0.095082536,0.027828603,0.034472153,
19640526,0.766663113,0.067227212,0.09387173,0.031777687,0.040460258,
